No,Date,FNK15,FNK25,N20I,N25I,NASI,ZKEQTK,ZKEQTU,ABSA,ARM,BAMB,BAT,BKG,BOC,BRIT,CABL,CARB,CGEN,CIC,COOP,CRWN,CTUM,DCON,DTK,EABL,EGAD,EQTY,EVRD,FAHR,FTGH,GLD,HAFR,HFCK,IMH,JUB,KAPC,KCB,KEGN,KNRE,KPLC,KPLC-P4,KPLC-P7,KQ,KUKZ,KURV,LBTY,LIMT,LKL,NBK,NBV,NCBA,NMG,NSE,OCH,ORCH,PORT,SASN,SBIC,SCAN,SCBK,SCOM,SGL,SLAM,SMER,TCL,TOTL,TPSE,UCHM,UMME,UNGA,WTK,XPRS
1,1/4/21,177.94,197.7,1872.42,3410.11,152.04,1781.47,1403.33,9.52,5.55,39.95,361,20.5,63,7,1.4,12.1,22,2.11,12.55,38,16.45,0.45,76.75,154,12.5,36.25,1.27,5.84,1.23,1975,0.42,3.14,44.85,275.75,78,38.4,4.67,2.31,1.71,5,6,3.83,365,1500,7.7,360,4.87,4.12,4.65,26.6,15.3,8.3,2.2,10.5,11,19.5,85,6,144.5,34.25,22.5,13,3.25,1.48,24,16,0.28,7.3,31.8,129.75,3.61
2,1/5/21,177.98,198.26,1877.89,3412.13,152.49,1785.74,1405.41,9.44,5.55,38.2,385,20.5,63,7.12,1.45,12.25,22.5,2.16,12.5,38,17.1,0.45,76.25,155,12.5,36.05,1.23,5.68,1.25,1975,0.41,3.3,43.5,285,78,38.5,4.76,2.33,1.71,5,6,3.83,365,1500,7.5,360,4.75,4.12,4.48,25.75,15.1,8.4,2.2,10.5,11,19.5,85,6,144.5,34.4,22.5,13,3.25,1.5,24.4,16,0.28,7.28,31.8,130,3.61
3,1/6/21,178.29,199.7,1869.26,3428.83,153.82,1790.36,1407.76,9.44,5.55,38.5,385,20.5,63,7,1.45,12.15,24,2.12,12.6,38,17.05,0.45,76.75,155.5,12.5,36,1.18,6.22,1.33,1975,0.4,3.38,45,290,78,38.5,4.55,2.39,1.71,5,6,3.83,365,1500,7.4,360,4.71,4.12,4.65,25.05,15.45,8.38,2.06,10.5,11,18.95,80.25,5.96,141.25,35,21,12,3.44,1.51,24.4,16,0.3,7.28,31.8,128.25,3.51
4,1/7/21,178.63,199.69,1879.92,3438.04,153.94,1792.93,1409.14,9.4,5.55,38.5,390,20.5,63,7.26,1.31,12.3,24,2.15,12.85,38,17.25,0.45,76.75,158,13.5,36,1.19,6.24,1.3,1975,0.38,3.33,45.5,290,78,38,4.52,2.41,1.73,5,6,3.83,365,1500,7.7,360,4.71,4.12,4.55,25.55,15.4,8.38,2.06,10.5,10.8,18.95,80.25,6.06,139.75,34.95,22.5,12,3.57,1.5,24.05,16,0.28,7.32,31.8,128,3.54
5,1/11/21,178.69,199.7,1892.39,3436.08,153.92,1790.11,1406.92,9.46,5.55,40,390,19,63,7.08,1.35,12.35,24,2.11,13.1,40,17.55,0.45,77,154.5,13.5,36,1.2,6.46,1.37,1975,0.4,3.36,45,291.5,78,38,4.63,2.5,1.77,5,6,3.83,365,1500,7.88,360,4.75,4.12,4.3,25.75,15.1,8.24,2.27,10.5,10.25,19.85,80.25,6.3,140,34.95,22.5,12.5,3.67,1.42,24,16.9,0.3,7.28,31.8,130,3.62
6,1/12/21,178.75,199.64,1902.22,3437.23,153.88,1789.01,1404.14,9.5,5.55,40,388.75,19,62.75,7.14,1.4,12.3,24,2.1,13.15,40,17.65,0.45,77.5,154,13.5,36.1,1.19,6.28,1.32,1975,0.4,3.4,45.9,291.75,80,37.95,4.64,2.68,1.77,5,6,3.83,365,1500,7.9,360,4.8,4.12,4.57,25.5,15.15,8.48,2.4,10.5,10.25,19.8,79.25,6.3,140,34.9,22.5,12,3.8,1.45,24.5,17.35,0.27,7.28,31.8,130,3.61
7,1/13/21,179.16,200.34,1910.64,3445.93,154.53,1792.56,1403.08,9.42,5.55,41.35,385.75,20.5,57.25,7.32,1.36,12.6,24,2.12,13.05,40,17.6,0.45,77.5,152.5,13.5,36.7,1.15,6.42,1.37,1975,0.38,3.54,46,290,80,37.9,4.68,2.7,1.75,5,6,3.83,365,1500,7.88,360,4.87,4.12,4.38,25.5,15.75,8.5,2.4,10.5,10.25,18.8,79.25,6.3,140,35.1,22.5,13,3.67,1.45,23.95,17.35,0.27,7.28,31,130.5,3.6
8,1/14/21,179.87,203.74,1921.06,3498.61,158.26,1807.85,1415.7,9.4,5.55,43.9,390,20.5,62,7.46,1.4,12.1,24,2.13,12.95,39,18,0.45,77.25,151.25,13.5,36.95,1.09,6.32,1.37,1975,0.39,3.61,46,290,80,37.2,4.73,2.55,1.76,5,6,3.83,370,1500,7.86,360,4.83,4.12,4.56,25.35,15.55,8.14,2.26,10.5,10.25,19.55,87,6.3,140,36.5,22.5,13.2,3.45,1.44,23.9,16,0.26,7.2,31,130.5,3.6
9,1/15/21,179.7,203.72,1919.7,3489.64,158.19,1800.79,1408.24,9.5,5.55,45.1,389.5,20.5,60.75,7.46,1.39,12,24,2.15,12.9,39,17.4,0.45,77,151.25,13.5,36.9,1.19,6.14,1.37,1975,0.36,3.64,45.85,290,80,36.9,4.8,2.64,1.73,5,6,3.83,370,1500,8,360,4.53,4.12,4.5,25.5,15.5,8.5,2.39,10.4,10.25,17.8,80.5,6.3,139.75,36.55,22.5,13.2,3.16,1.36,23.9,17,0.24,7.2,32,133,3.31
10,1/18/21,178.88,202.75,1906.63,3479.81,157.56,1795.72,1404.28,9.5,5.55,45.15,390,20.5,60.75,7.1,1.37,12.05,24,2.14,13,39.5,17.1,0.45,77,151,13.5,36.7,1.19,6.32,1.35,1975,0.39,3.67,45.85,286.75,80,36.55,4.84,2.5,1.64,5,6,3.83,370,1500,7.2,360,4.9,4.12,4.51,25.5,15.45,8.5,2.38,10.4,10.25,17.95,84.75,6.26,139.75,36.35,22.3,13.2,3.16,1.34,23.7,17,0.25,7.2,32,130,3.6
