Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Costa Rica,CRI,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.2839713875974
Costa Rica,CRI,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.7886203660083
Costa Rica,CRI,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.2099974996226
Costa Rica,CRI,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.0931803493417
Costa Rica,CRI,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.3689608151603
Costa Rica,CRI,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.548219173738
Costa Rica,CRI,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.3313791716683
Costa Rica,CRI,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.0967003715735
Costa Rica,CRI,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.5958654307194
Costa Rica,CRI,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.3214839668284
Costa Rica,CRI,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.8541242467804
Costa Rica,CRI,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.0804671408615
Costa Rica,CRI,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.3511782675913
Costa Rica,CRI,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.309505789507
Costa Rica,CRI,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.0082531344324
Costa Rica,CRI,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.5245959485922
Costa Rica,CRI,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.1346422477393
Costa Rica,CRI,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.4960438696713
Costa Rica,CRI,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.6568657061988
Costa Rica,CRI,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.6923936892422
Costa Rica,CRI,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.8161140278044
Costa Rica,CRI,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.9068666085941
Costa Rica,CRI,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.3194941186024
Costa Rica,CRI,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,33.2435050707221
Costa Rica,CRI,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.4785874551243
Costa Rica,CRI,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.085532203512
Costa Rica,CRI,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.1280575007492
Costa Rica,CRI,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.6104452253544
Costa Rica,CRI,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.5970414394102
Costa Rica,CRI,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.3647653422656
Costa Rica,CRI,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.121116396206
Costa Rica,CRI,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.0393684767681
Costa Rica,CRI,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.2864729876509
Costa Rica,CRI,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.9277303904316
Costa Rica,CRI,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.5063595304893
Costa Rica,CRI,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.0645864422244
Costa Rica,CRI,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.7271376794402
Costa Rica,CRI,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.1967605060231
Costa Rica,CRI,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.5827956064014
Costa Rica,CRI,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.7981629981838
Costa Rica,CRI,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.5105361625168
Costa Rica,CRI,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.7800727328885
Costa Rica,CRI,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,9.94319092877542
Costa Rica,CRI,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.4472303607841
Costa Rica,CRI,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.5188201995221
Costa Rica,CRI,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.7048922102168
Costa Rica,CRI,2022,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.959243423694
Costa Rica,CRI,2021,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,39.6103198007254
Costa Rica,CRI,2020,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,54.3495364933831
Costa Rica,CRI,2019,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,35.9668243771215
Costa Rica,CRI,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,39.4102554974343
Costa Rica,CRI,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,33.3037609468424
Costa Rica,CRI,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,33.6892236641446
Costa Rica,CRI,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,32.4543585025103
Costa Rica,CRI,2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.9223581821704
Costa Rica,CRI,2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.5179239049054
Costa Rica,CRI,2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.0394547826207
Costa Rica,CRI,2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.8402503368488
Costa Rica,CRI,2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,26.0180241891282
Costa Rica,CRI,2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.3172736708398
Costa Rica,CRI,2008,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,19.314663852855
Costa Rica,CRI,2007,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,16.1128557224543
Costa Rica,CRI,2006,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,18.7314798716858
Costa Rica,CRI,2005,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.0919013495855
Costa Rica,CRI,2004,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,21.3961198186898
Costa Rica,CRI,2003,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.3905526975921
Costa Rica,CRI,2002,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.5231545033358
Costa Rica,CRI,2001,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.9408003639996
Costa Rica,CRI,2000,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,19.8010899313123
Costa Rica,CRI,1999,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,18.8910398968454
Costa Rica,CRI,1998,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.0003310043746
Costa Rica,CRI,1997,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.4470366206232
Costa Rica,CRI,1996,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.8973320836031
Costa Rica,CRI,1995,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,19.6075858282975
Costa Rica,CRI,1994,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.451459132659
Costa Rica,CRI,1993,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,18.9735423811857
Costa Rica,CRI,1992,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.0368702504925
Costa Rica,CRI,1991,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.0942408376963
Costa Rica,CRI,1990,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.3229034018556
Costa Rica,CRI,1989,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.6653225806452
Costa Rica,CRI,1988,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.3700731649752
Costa Rica,CRI,1987,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.0690360521606
Costa Rica,CRI,1986,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.4967061923584
Costa Rica,CRI,1985,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.7547035853745
Costa Rica,CRI,1984,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.1967087638729
Costa Rica,CRI,1983,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.6519337016575
Costa Rica,CRI,1982,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.0116521015397
Costa Rica,CRI,1981,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.1013824884793
